Country,Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Working,Shipped,Receiving,Fulfilled by,Total Days of Supply (including units from open shipments),Days of Supply at Amazon Fulfillment Network,Alert,Recommended replenishment qty,Recommended ship date,Unit storage size
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Dark Green,X001X55S3D,AN-113-Dark Green-M-CD-DE,B0CPQ2TYZN,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨White-2XL£©,X001X55MVV,AN-4006-White-2XL-CD-DE,B0CPQ1ZV94,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Black,X001X55RM5,AN-113-Black-XL-CD-DE,B0CPQ1RZTZ,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Amry Green-XL£©",X001X55MUH,AN-4006- Amry Green-XL-CD-DE,B0CPPZBBZ6,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X51Z2L,AN-113-Floral White-S-CD-DE,B0CPQ1CSW4,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Dark Green,X001X51YN1,AN-113-Dark Green-L-CD-DE,B0CPQ27PMB,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Wine Red,X001X51YRR,AN-113-Wine Red-S-CD-DE,B0CPQ1KN4F,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Navy Blue-2XL£©,X001X4VJM3,AN-4006-Navy Blue-2XL-CD-DE,B0CPQ28CQ5,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨White-L£©,X001X4VJG9,AN-4006-White-L-CD-DE,B0CPQ2F2T6,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Gray-XL£©",X001X51M29,AN-4006-Light Gray-XL-CD-DE,B0CPPZ9RGX,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
